Day;Alive animals;Corpses;Plants;Free fields for plants;Free fields;Famous Genotype; Corpses;Average alive animals energy;Average death lifespan
1;103;0;66;2434;2340;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;19.572815;0.0
2;103;0;83;2417;2319;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;18.786407;0.0
3;103;0;100;2400;2300;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;18.009708;0.0
4;103;0;115;2385;2283;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;17.495146;0.0
5;103;0;129;2371;2271;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;16.961164;0.0
6;103;0;142;2358;2258;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;16.466019;0.0
7;103;0;160;2340;2238;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;15.54369;0.0
8;103;0;175;2325;2224;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;14.834951;0.0
9;104;0;188;2312;2213;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;14.192307;0.0
10;105;0;203;2297;2196;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;13.457143;0.0
11;105;0;217;2283;2183;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];0;13.028571;0.0
12;104;1;231;2269;2167;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];1;12.596154;11.0
13;100;5;247;2253;2155;[0, 0, 7, 2, 3, 2, 5, 5, 2, 6];5;12.44;11.8
14;99;7;259;2241;2145;[0, 1, 6, 4, 4, 6, 5, 0, 5, 4];7;12.262627;12.142858
15;94;12;275;2225;2134;[0, 2, 0, 5, 2, 5, 0, 7, 5, 4];12;12.074468;12.916667
16;93;13;287;2213;2123;[0, 2, 0, 5, 2, 5, 0, 7, 5, 4];13;12.053763;13.076923
17;90;16;300;2200;2111;[0, 2, 0, 5, 2, 5, 0, 7, 5, 4];16;12.155556;13.625
18;90;16;310;2190;2102;[0, 2, 0, 5, 2, 5, 0, 7, 5, 4];16;12.266666;13.625
19;88;19;326;2174;2089;[0, 2, 0, 5, 2, 5, 0, 7, 5, 4];19;11.681818;13.842105
20;87;20;339;2161;2078;[0, 2, 0, 5, 2, 5, 0, 7, 5, 4];20;11.609196;14.1
21;41;66;352;2148;2109;[0, 4, 4, 3, 3, 7, 4, 5, 4, 1];66;24.219513;18.212122
22;40;67;365;2135;2096;[0, 4, 4, 3, 3, 7, 4, 5, 4, 1];67;25.55;18.25373
23;40;67;375;2125;2087;[0, 4, 4, 3, 3, 7, 4, 5, 4, 1];67;26.975;18.25373
24;38;69;388;2112;2077;[0, 4, 4, 3, 3, 7, 4, 5, 4, 1];69;29.026316;18.391304
